丰泰华园山庄,丰泰华园山庄位于虎门镇新联村连升路镇标入口300米（白,5000户,东莞,2006-03,普通住宅,东莞市龙泽物业管理有限公司,,1.5,2.36,1508,38.6%,330000平方米,,,22.85949,113.693903,"[""http://pic1.ajkimg.com/display/4bc369b5f00aef37b040e42647ce5fd4/200x200.jpg"",""http://pic1.ajkimg.com/display/332352b1249d78174627862ca2af8363/200x200.jpg"",""http://pic1.ajkimg.com/display/a9577bf34514f5e5797ab37b59f8d319/200x200.jpg""]",丰泰华园山庄建筑群以半月形环抱着3000亩的广博湖泊，由300多套别墅、20多栋小高层及10栋空中别墅组成，总建筑面积33万M2，容积率为1.5，绿地率38.6%，绿地覆盖率42.3%，绿地中绿化率76%。小区南面设有200亩的山地私家郊野公园；是天然的大氧吧。区内设有30000平方米的尊贵会所，设有大型露天和室内恒温泳池、健身室、网球场、乒���球室、桌球室和儿童艺术中心等，同时拥有全城唯一水上高尔夫练习场，让健康生活流畅完美。区外配套酒楼、超市和各式店铺，生活所需一应俱备。 小区建筑物以马蹄状环绕水库布置，高低错落，层次分明，中央叠泉广场及会所成为小区的绿化休闲中心，而小规模的园林水景则呈点状不规则地散步在小区各处。小区内建筑小品分布其中，金棕榈大道、叠泉广场、情人岛、棕榈海滩、钓鱼台、亲子种植园、亲水步行道、椰林大瀑布，景色迷人。小区道路则依据地形山势顺势而行，恍如水带环绕建筑物，贯彻了山环水抱的自然特点。小区园林植物种类丰富，主要采用亚热带植物，如油棕，海南椰，大王椰，小叶榕，散尾葵，美人蕉，桂花树，巴西铁，绿罗……等等，植物高高低低层次感丰富，四季常绿。 丰泰华园山庄引入酒店式的大管家物业管理服务，拥有专业素质的物管人员，可以第一时间满足业主要求。小区内设立以主入口总门禁，24小时保安巡逻，红外线维护、可视监控，家居智能防盗系统等多重保障令居家安全无忧。 丰泰华园山庄一直秉承人文的理念，除了注重环境建设外，还特别注重社区文化的建设，努力把丰泰华园山庄创造成为优秀的“人文社区”。丰泰华园山庄定时为业主举办各式各样的社区活动，如丰泰地中海系列社区活动、中秋丰泰夜开心SHOW、2004年元旦丰泰迎新嘉年华、丰泰少儿文艺晚会、丰泰中秋啤酒节及资助粤北山区贫困学生助学活动，丰富了住户的文化生活，满足业主的精神需求。 丰泰华园山庄不断的完善，不断的提升，已多次获省、市级荣誉称号，2003年省房协“绿色住区”和省环保“绿***”称号，2003年东莞市优秀物业管理示范小区，2004年广东省优秀物业管理示范小区。同时2004年广东省作家协会虎门创作基地落户丰泰华园山庄，2004年东莞市网球协会于丰泰华园山庄成立，并任会长单位。
聚福豪苑,东城大道123号,320户,东莞,2003-12,普通住宅,东莞市聚福物业管理有限公司,,3.6,2元/平方米·月,租300/月,45.0%,133000平方米,,,23.039675,113.771999,"[""http://pic1.ajkimg.com/display/a02b3c31f7001809abc112fed79593a9/200x200.jpg"",""http://pic1.ajkimg.com/display/10715d4379ae016ecad6365237683374/200x200.jpg"",""http://pic1.ajkimg.com/display/dc44edf031cec68ac9ebbd7c313872a5/200x200.jpg""]",项目位于东莞大道旁，地理位置卓越���交通便捷，周边生活配套完善，可居住可投资。
景湖春天,银树路（距景湖花园300米）,3000户,东莞,2003-01,普通住宅,东莞市光大物业管理有限公司,,2.45,1.80,900,36%,50000平方米,,,23.009526,113.773577,"[""http://pic1.ajkimg.com/display/72b17b56acd76374b56a511da3923d47/200x200.jpg"",""http://pic1.ajkimg.com/display/883a3664eab189b4d2b5eb723f005163/200x200.jpg"",""http://pic1.ajkimg.com/display/6c3cc731fc8f8c7df10272c1739e76c9/200x200.jpg"",""http://pic1.ajkimg.com/display/5c6dfb65e4672b32b5ae499db782d4b7/200x200.jpg""]",城市中心主绝版位置，位处东莞市中心，占据黄旗山下的绝版地块，地利优势得天独厚，完美诠译都市繁华与自然静谧的居住真谛。 黄旗山下的绝版地块，青葱山景蕴生清新气息。东莞城市政治文化中心，居住升值黄金地X，国际会展中心，繁华商业街等成熟生活配套拥左右。东莞大道，三环路，四环路环绕近前，交通优势出入便利。东莞地产旗舰光大地产新世纪倾情力作，度身打造白领精英生活特区－－景湖春天，演绎“珍重每个家的期望”。 景湖春天占地20平方米，大型���区配套齐全，超高绿化率，户户窗含青葱，引进世界各大主题园林。构造富于韵律赶的社区景观带，采用线型与弧型建筑格局，错落有致，最优化的人车分流设计，彰显了景湖春天生活规划的前瞻眼界。
红荔侨苑,常黄公路朗贝段,,东莞,2000-06-22,,暂无资料,,0.0,1.50元/平米·月,,30%,508500平方米,,,22.973232,114.009377,"[""http://pic1.ajkimg.com/display/4edcf535865a7ef43c1c1e8c6564ee6d/200x200.jpg"",""http://pic1.ajkimg.com/display/05125cc317a0b97acd4dda9d44d58ee6/200x200.jpg"",""http://pic1.ajkimg.com/display/bcac9d2d2a8a29bb1442228e6f0b6bef/200x200.jpg"",""http://pic1.ajkimg.com/display/bb9fc941a889b1a13d828fce2f5b1a95/200x200.jpg""]",
中惠山畔名城,长青北路315号,1300户,东莞,2003-01,其它,开元国际物业,,3.4,2.00,800,40%,520000平方米,,,22.822591,113.80708,"[""http://pic1.ajkimg.com/display/a4ddcf9785a7adb5a54802420d50d8ad/200x200.jpg"",""http://pic1.ajkimg.com/display/02dd10a437b34ca3462d2f14e6385ea8/200x200.jpg"",""http://pic1.ajkimg.com/display/18b8f6b2df6226f0eae340796206620a/200x200.jpg"",""http://pic1.ajkimg.com/display/44cfee87f7a256d32546660a2c2306e1/200x200.jpg""]",项目计划发展用地1580亩，首期占地55亩，其中环境面积2万多平方米。项目南面为四星级酒店——长安国际大酒店，北为莲花山郊野公园，东侧为开发中的长安集团办公大楼，西面是长安镇规划中商业用地。中惠山畔是中惠地产在长安鼎力打造的第一个名盘，占据长安中心区黄金地段，东临长安镇**，南靠长安国际大酒店（4星级），北为莲花山郊野公园。小区分2期建设，共有13栋，总户数约1300户，小区采用人车分流。园林风格为新加坡风情，动感阳光，环境优美。现在该小区的入住率超过90%，基本上是自住为主。是长安镇的高档楼盘之一。
东骏豪苑,四环路旁,2000户,东莞,2006-05,普通住宅,东骏物业,,1.78,2.4元/平方米.月,1325,70.0%,480000平方米,,,22.991395,113.75987,"[""http://pic1.ajkimg.com/display/49d96c459d4ec17fc0fb057c46ee5735/200x200.jpg"",""http://pic1.ajkimg.com/display/02fa28dc0f06d912f95b66790a647ecb/200x200.jpg"",""http://pic1.ajkimg.com/display/7b3f3cd256614f03b7e96563460166ee/200x200.jpg"",""http://pic1.ajkimg.com/display/37f7100d8675caeb7efe04091b2bbd76/200x200.jpg""]",东骏豪苑，都市中心绝无仅有浓荫豪宅，闪耀在南城中央生活区，独享大自然的丰厚馈赠，毗邻宽广的市政体育公园，视野永不遮挡。距四环路、银树路中央居住区、东莞大道、五环路均只有3分钟车程，交通、体育及生活配套一应俱全，尽享CLD的丰富的生活资源
金地博登湖,塘厦可居酒吧街柏豪酒店,2580户,东莞,2008-03,普通住宅,金地物业管理公司,,1.8,2.4元/平方米·月,1657个地下停车场,31.50%,320000平方米,,,22.826038,114.095009,"[""http://pic1.ajkimg.com/display/8704a4f3290c752e5ca99127b85146f3/200x200.jpg"",""http://pic1.ajkimg.com/display/fc217288cf76a98c1b0c047085e833b8/200x200.jpg""]","金地·博登湖项目总占地18万㎡，总建筑面积约32万㎡，是金地集团继格林小镇、格林上院之后，在东莞开发的第三个项目。也是金地集团在全国范围内开发的第45个项目。 项目位于塘厦新行政中心区5,000亩的塘坑水库旁，拥有2,000米湖岸线，该区域规划超前，配套设施完善，目前是塘厦的传统豪宅板块，未来将成为塘厦的新城核心。 完善的市政配套、天然生态湖景、现代典雅的建筑、创新突破的户型设计、地中海的风情园林都将是本项目的亮点。城市与湖的完美结合。一个拥有5,000亩湖域资源、2,000米湖岸线、32万㎡建筑面积国际大社区。95-100㎡复式3房，156-166㎡平层三房。现优惠方式是：三房面价8折后再减8万，四房面价8折后再减12万。"
海逸豪庭,厚街横岗水库旁边,,东莞,2005-01,别墅,海逸豪庭物业管理,,1.0,3.0,,52.0%,,,,22.924658,113.747014,"[""http://pic1.ajkimg.com/display/aae6c31b1ef34a41f801bae0231a1c9b/200x200.jpg"",""http://pic1.ajkimg.com/display/8412d32ef8131d030f34fa868604087a/200x200.jpg""]",厚街最好别墅区，九重立体安防系统，高尔夫球会，运动会所
中惠香樟绿洲,东城大道柏峰路,3000户,东莞,1998-02,普通住宅,深圳市开元国际物业管理公司（国家一级）,,1.73,2.4元/平方米·月,3800,40.0%,20000平方米,,,22.899204,114.069774,"[""http://pic1.ajkimg.com/display/c2a72890df8729b3336a2ec30d4b5c87/200x200.jpg"",""http://pic1.ajkimg.com/display/f38c4a415dfa0da5cadb811145b805cc/200x200.jpg"",""http://pic1.ajkimg.com/display/409c2e328bae8b5d43cabc31e922c110/200x200.jpg"",""http://pic1.ajkimg.com/display/ffd1a14d9913a9119a372295ffa6adba/200x200.jpg""]",中惠香樟绿洲占地约50万平米，地块形状呈梯形，位于樟木头新行政中心区——东城区，南临东城大道，北面青翠山脉环抱，石马河沿地块西面环绕流过，整个项目南低北高，背山望水，实为难得的风水宝地，建筑和园林风格为西班牙风情，园林绿化率高达40%，西侧是沿河体育公园，南面至西面体育公园设有近千米长的商业街步行街———“香樟一英里”。 西班牙风格多层洋房、高层电梯洋房、空中别墅、华庭美墅，项目配套齐全，设有3000余平米的吉的堡双语教学幼儿园，2000余平米的大型会所，华润超市、柴火酒家、一致药店等品牌商家意向进驻。 香樟绿洲的开发商中惠香樟绿洲地产开发有限公司是中惠熙元房地产集团有限公司属下企业，开发商为把香樟绿洲项目打造成“50万平米西班牙风情小镇”，集中了全国甚至世界级的知名专业公司，包括：加拿大AEL建筑景观设计有限公司、深圳筑博工程设计有限公司、福建同源建设工程有限公司企业等。
风临美丽湾,莞穗大道与西城路交汇处,1500户,东莞,2007-12,普通住宅,深圳开元物业管理有限公司,,1.5,1.98元/平方米·月,1343,35.78%,138731平方米,,,23.064379,113.721829,"[""http://pic1.ajkimg.com/display/d24afd37fc28c7fc9e0a52c71ab60695/200x200.jpg"",""http://pic1.ajkimg.com/display/a421b5549e917017da24436b6b6d896b/200x200.jpg"",""http://pic1.ajkimg.com/display/91179aa6b3c0268d98ac0c985841da98/200x200.jpg"",""http://pic1.ajkimg.com/display/783f5d3217f27dba96e6dd6050032443/200x200.jpg""]","风临美丽湾位于东莞市万江区莞穗大道与西城路交汇处,东靠东悦酒店,西南面零距离毗邻规划中的万江新行政文化中心。该行政文化中心区主要以行政服务、文化娱乐、信息展示为主，选址在万龙片区南部由四环路、莞穗大道、银龙北路和汾溪河围合的范围内，预计5-8年建成，今年动工。 项目规划总用地约105200.86平米，总建筑面积228993.43平米。其中一期占���68680平米,建筑面积约138731平米,1.5超低容积效率配合35.7％的绿化率,享有媲美别墅级的空间体验同时感受浑然天成的皇家园林气派。19栋小高层建筑错落有致,传承西班牙新古典风格,集建筑造型艺术与传统文化内涵于一体。 项目由来自深圳的品牌开发商深圳∙正中置业集团开发，凭借着其雄厚的资金实力，成熟的开发经验，其将立足于万江新行政文化中心区，倾力打造万江地产市场的标杆。"
虎门地标,连升路龙泉国际酒店西对面以南,1600户,东莞,2006-01,普通住宅,广州瑞丰物业管理有限公司,,4.02,2.2元/平方米·月,1200,38.0%,21000平方米,,,22.828112157928,113.67434620141,"[""http://pic1.ajkimg.com/display/0097137c9702720789c19f98999a8853/200x200.jpg""]",虎门地标位于虎门镇连升路，龙泉国际酒店斜对面，是虎门的新行政中心、新兴商业区，交通发达，拥有良好的视野和地理环境，是未来虎门城市建设的重点片区，升值潜力大，发展前景好。周边规划多宗商住用地，部分已经开工。集住宅、商业、公寓于一体的大型商住综合体，包括：5.3万平方米建面的商业（商场铺和街铺）、85-220平米2-4房住宅、单身公寓。规划为ABC三区，A区为公寓和商场铺，BC区为住宅和街铺组合，都具备沿街界面长、商业价值高的特点，整���规划合理有效组织人流、物流、车流，科学汇聚人气和商机，商业居住互不干扰，下沉式广场，有效提升了商业价值，增加了建筑的趣味性和灵活性，为城市创造了丰富的序列空间。该楼盘建筑设计为类板式结构，充分利用空间的同时，做到了极佳的通风采光。工地整洁，组织条理，延续着开发商高标准施工的严谨作风，一流的地标建筑，只为少数人拥有！虎门地标的1000平米无边际泳池，9米悬空跌瀑，黑白斜顶级私人会所，叠加生态入户花园，3N国际豪宅，东南亚风情皇家园林，包豪斯艺术装修，俊朗的德国建筑风格，时尚现代的外立面，处处都在向世人展示虎门的现代都市魅力！3N豪宅，尖峰地标，以虎门地标的新财富中心，新行政中心，新豪宅坐标地位，成就国际特区生活梦想！
帝豪花园,百果洞村委,,东莞,,普通住宅,,,,,,,,,,22.911849,114.053988,"[""http://pic1.ajkimg.com/display/62c7094cddf573cba8b70b3a9c83982a/200x200.jpg""]",
八达花园,金牛路,,东莞,,普通住宅,暂无资料,,0.0,暂无资料,138,00%,60890.79平方米,,,23.037945,113.761565,[],
